concessionaria,ano,Valor
ECOVIAS DO CERRADO,2018,
VIACOSTEIRA,2018,
CONCEPA,2019,
NOVADUTRA,2019,39262000.0
CONCER,2019,8347000.0
CRT,2019,23264000.0
ECOSUL,2019,74682000.0
AUTOPISTA PLANALTO SUL,2019,103402000.0
AUTOPISTA LITORAL SUL,2019,341138000.0
AUTOPISTA REGIS BITTENCOURT,2019,20404000.0
AUTOPISTA FLUMINENSE,2019,155686000.0
TRANSBRASILIANA,2019,28031000.0
RODOVIA DO AÇO,2019,5437000.0
AUTOPISTA FERNÃO DIAS,2019,198953000.0
VIA BAHIA,2019,73484000.0
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2019,265026000.0
ECO050,2019,199196000.0
CONCEBRA,2019,28741000.0
CRO,2019,149266000.0
MSVIA,2019,39235000.0
ECOPONTE,2019,180377000.0
VIA 040,2019,121269000.0
VIA SUL,2019,1151126000.0
ECOVIAS DO CERRADO,2019,
VIACOSTEIRA,2019,
CONCEPA,2020,
NOVADUTRA,2020,
CONCER,2020,4732000.0
CRT,2020,40240000.0
ECOSUL,2020,76588000.0
AUTOPISTA PLANALTO SUL,2020,79594000.0
AUTOPISTA LITORAL SUL,2020,408918000.0
AUTOPISTA REGIS BITTENCOURT,2020,84327000.0
AUTOPISTA FLUMINENSE,2020,173921000.0
TRANSBRASILIANA,2020,21965000.0
RODOVIA DO AÇO,2020,3838000.0
AUTOPISTA FERNÃO DIAS,2020,145881000.0
VIA BAHIA,2020,49965000.0
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2020,194787000.0
ECO050,2020,158540000.0
CONCEBRA,2020,23328000.0
CRO,2020,17576000.0
MSVIA,2020,30823000.0
ECOPONTE,2020,127307000.0
VIA 040,2020,119401000.0
VIA SUL,2020,75261000.0
ECOVIAS DO CERRADO,2020,300823000.0
VIACOSTEIRA,2020,369579000.0
CONCEPA,2021,
NOVADUTRA,2021,
CONCER,2021,3743000.0
CRT,2021,28691000.0
ECOSUL,2021,149274000.0
AUTOPISTA PLANALTO SUL,2021,94728000.0
AUTOPISTA LITORAL SUL,2021,936183000.0
AUTOPISTA REGIS BITTENCOURT,2021,230281000.0
AUTOPISTA FLUMINENSE,2021,103371000.0
TRANSBRASILIANA,2021,48088000.0
RODOVIA DO AÇO,2021,9158000.0
AUTOPISTA FERNÃO DIAS,2021,206413000.0
VIA BAHIA,2021,143205000.0
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2021,244296000.0
ECO050,2021,235595000.0
CONCEBRA,2021,16902000.0
CRO,2021,152015000.0
MSVIA,2021,16477000.0
ECOPONTE,2021,51345000.0
VIA 040,2021,8057000.0
VIA SUL,2021,9680000.0
ECOVIAS DO CERRADO,2021,154183000.0
VIACOSTEIRA,2021,553915000.0
RIOSP,2021,2054368000.0
ECO RIOMINAS,2021,2000.0
ECOVIAS DO ARAGUAIA,2021,1542222000.0
VIABRASIL,2021,662000.0
CONCEPA,2022,
NOVADUTRA,2022,
CONCER,2022,606000.0
CRT,2022,13026000.0
ECOSUL,2022,49548000.0
AUTOPISTA PLANALTO SUL,2022,109836000.0
AUTOPISTA LITORAL SUL,2022,1071996000.0
AUTOPISTA REGIS BITTENCOURT,2022,211571000.0
AUTOPISTA FLUMINENSE,2022,84754000.0
TRANSBRASILIANA,2022,126730000.0
RODOVIA DO AÇO,2022,5436000.0
AUTOPISTA FERNÃO DIAS,2022,369746000.0
VIA BAHIA,2022,34569000.0
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2022,282402000.0
ECO050,2022,228063000.0
CONCEBRA,2022,43345000.0
CRO,2022,150772000.0
MSVIA,2022,38232000.0
ECOPONTE,2022,20325000.0
VIA 040,2022,1467000.0
VIA SUL,2022,289087000.0
ECOVIAS DO CERRADO,2022,339377000.0
VIACOSTEIRA,2022,81692000.0
RIOSP,2022,366935000.0
ECO RIOMINAS,2022,95165000.0
ECOVIAS DO ARAGUAIA,2022,893044000.0
VIABRASIL,2022,714926000.0
CONCER,2023,26383000.0
ECOSUL,2023,66285000.0
AUTOPISTA PLANALTO SUL,2023,86146000.0
AUTOPISTA LITORAL SUL,2023,1080767000.0
AUTOPISTA REGIS BITTENCOURT,2023,180393000.0
AUTOPISTA FLUMINENSE,2023,126018000.0
TRANSBRASILIANA,2023,95518000.0
RODOVIA DO AÇO,2023,13581000.0
AUTOPISTA FERNÃO DIAS,2023,139089000.0
VIA BAHIA,2023,37845000.0
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2023,215393000.0
ECO050,2023,229242000.0
CONCEBRA,2023,157498000.0
CRO,2023,467376000.0
MSVIA,2023,10781000.0
ECOPONTE,2023,21913000.0
VIA 040,2023,71000.0
VIA SUL,2023,817415000.0
ECOVIAS DO CERRADO,2023,299423000.0
VIACOSTEIRA,2023,23219000.0
RIOSP,2023,715227000.0
ECO RIOMINAS,2023,1197043000.0
ECOVIAS DO ARAGUAIA,2023,471581000.0
VIABRASIL,2023,712417000.0
LITORAL PIONEIRO,2023,21045000.0
VIA ARAUCÁRIA,2023,253615000.0
CONCER,2024,28375000.0
ECOSUL,2024,35288000.0
AUTOPISTA PLANALTO SUL,2024,137635000.0
AUTOPISTA LITORAL SUL,2024,881576000.0
AUTOPISTA REGIS BITTENCOURT,2024,172337000.0
AUTOPISTA FLUMINENSE,2024,52713000.0
TRANSBRASILIANA,2024,53386000.0
RODOVIA DO AÇO,2024,13700000.0
AUTOPISTA FERNÃO DIAS,2024,321253000.0
VIA BAHIA,2024,43014000.0
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2024,283609000.0
ECO050,2024,282396000.0
CONCEBRA,2024,93940000.0
CRO,2024,1206707000.0
MSVIA,2024,26058000.0
ECOPONTE,2024,64280000.0
VIA 040,2024,178000.0
