concessionaria;ano;Valor
RIOSP;2021;2054368000
ECO RIOMINAS;2021;2000
ECOVIAS DO ARAGUAIA;2021;1542222000
VIABRASIL;2021;662000
CONCEPA;2022;
NOVADUTRA;2022;
CONCER;2022;606000
CRT;2022;13026000
ECOSUL;2022;49548000
AUTOPISTA PLANALTO SUL;2022;109836000
AUTOPISTA LITORAL SUL;2022;1071996000
AUTOPISTA REGIS BITTENCOURT;2022;211571000
AUTOPISTA FLUMINENSE;2022;84754000
TRANSBRASILIANA;2022;126730000
RODOVIA DO AÇO;2022;5436000
AUTOPISTA FERNÃO DIAS;2022;369746000
VIA BAHIA;2022;34569000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2022;282402000
ECO050;2022;228063000
CONCEBRA;2022;43345000
CRO;2022;150772000
MSVIA;2022;38232000
ECOPONTE;2022;20325000
VIA 040;2022;1467000
VIA SUL;2022;289087000
ECOVIAS DO CERRADO;2022;339377000
VIACOSTEIRA;2022;81692000
RIOSP;2022;366935000
ECO RIOMINAS;2022;95165000
ECOVIAS DO ARAGUAIA;2022;893044000
VIABRASIL;2022;714926000
CONCER;2023;26383000
ECOSUL;2023;66285000
AUTOPISTA PLANALTO SUL;2023;86146000
AUTOPISTA LITORAL SUL;2023;1080767000
AUTOPISTA REGIS BITTENCOURT;2023;180393000
AUTOPISTA FLUMINENSE;2023;126018000
TRANSBRASILIANA;2023;95518000
RODOVIA DO AÇO;2023;13581000
AUTOPISTA FERNÃO DIAS;2023;139089000
VIA BAHIA;2023;37845000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2023;215393000
ECO050;2023;229242000
CONCEBRA;2023;157498000
CRO;2023;467376000
MSVIA;2023;10781000
ECOPONTE;2023;21913000
VIA 040;2023;71000
VIA SUL;2023;817415000
ECOVIAS DO CERRADO;2023;299423000
VIACOSTEIRA;2023;23219000
RIOSP;2023;715227000
ECO RIOMINAS;2023;1197043000
ECOVIAS DO ARAGUAIA;2023;471581000
VIABRASIL;2023;712417000
LITORAL PIONEIRO;2023;21045000
VIA ARAUCÁRIA;2023;253615000
CONCER;2024;28375000
ECOSUL;2024;35288000
AUTOPISTA PLANALTO SUL;2024;137635000
AUTOPISTA LITORAL SUL;2024;881576000
AUTOPISTA REGIS BITTENCOURT;2024;172337000
AUTOPISTA FLUMINENSE;2024;52713000
TRANSBRASILIANA;2024;53386000
RODOVIA DO AÇO;2024;13700000
AUTOPISTA FERNÃO DIAS;2024;321253000
VIA BAHIA;2024;43014000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2024;283609000
ECO050;2024;282396000
CONCEBRA;2024;93940000
CRO;2024;1206707000
MSVIA;2024;26058000
ECOPONTE;2024;64280000
VIA 040;2024;178000
VIA SUL;2024;609620000
ECOVIAS DO CERRADO;2024;362602000
VIACOSTEIRA;2024;318453000
RIOSP;2024;1723855000
ECO RIOMINAS;2024;771877000
ECOVIAS DO ARAGUAIA;2024;556736000
VIABRASIL;2024;199231000
LITORAL PIONEIRO;2024;339645000
VIA ARAUCÁRIA;2024;531148000
VIA MINEIRA;2024;80768000
